,datetime,tweet_Id,text,Username
0,2022-06-30 23:33:01+00:00,1542652458383675392,ABD'li vekile 'kürtaj' gözaltısı https://t.co/7ZKRexpuUp,Haberturk
1,2022-06-30 22:53:01+00:00,1542642389059538944,"Yaz geldi, sivri kabusu başladı: İstanbul'da 39 ilçeye sivrisinek tuzağı kuruldu https://t.co/bq8iPkW3Mp",Haberturk
2,2022-06-30 22:33:54+00:00,1542637580503715842,Başağa’dan 'Trablus'a zor kullanarak girme' tehdidi https://t.co/AJSa8YQRtK,Haberturk
3,2022-06-30 22:17:40+00:00,1542633495654240259,Husumetli iki aile birbirine girdi: Yaralılar var https://t.co/5vJsy2OzhP,Haberturk
4,2022-06-30 22:01:12+00:00,1542629351799373825,İsrail'de yeni başbakan Yair Lapid https://t.co/0Tx2KLFknD,Haberturk
5,2022-06-30 21:18:10+00:00,1542618520546156544,Sevgilisinin boğazını bıçakla yaraladı https://t.co/13brwWX8mM,Haberturk
6,2022-06-30 20:53:58+00:00,1542612430441922561,"2023'ün ilk aylarında tüketici ile buluşacak olan Türkiye'nin yerli otomobili Togg'a özel teşvik geliyor

Önümüzdeki günlerde meclisin gündemine taşınacak torba yasa teklifine, elektrikli otomobillerin mevcut ÖTV oranlarını düşürecek bir madde eklendi https://t.co/3IXHtAxPxD https://t.co/gqOJtq1X0Q",Haberturk
7,2022-06-30 20:10:17+00:00,1542601438513307650,"Ünlü ressam Francis Bacon'un 40 yıl boyunca gizlenen 1964 yapımı ""Study for Portrait of Lucian Freud"" adlı çalışması 52,8 milyon dolara rekor fiyata alıcı buldu https://t.co/6a7sRd59EQ https://t.co/hhmqpCMim6",Haberturk
8,2022-06-30 20:06:42+00:00,1542600537425813504,"Askeri Ceza Kanunu ve Bazı kanunlarda Değişiklik Yapılmasına Dair Kanun Teklifi TBMM Genel Kurulu’nda kabul edildi

Teklifle birlikte yoklama kaçağı ve bakaya durumundaki 550 bin kişi, bedelli askerlikten yararlanabilecek https://t.co/rsTLINTEUa https://t.co/a3O0ROCdEy",Haberturk
9,2022-06-30 19:46:59+00:00,1542595572535885825,"Türkiye Cumhuriyet Merkez Bankası, Zorunlu Karşılık ve İhbarlı Döviz Mevduat Hesapları'nda uyguladığı yüzde 1,5 komisyon oranını yüzde 5'e yükseltti https://t.co/oREhKCPRuD https://t.co/JDVfwKHOST",Haberturk
10,2022-06-30 19:32:36+00:00,1542591956173430785,"Kimler yatırım fonlarını tercih etmeli?

Habertürk Finans Editörü Rahim Ak'ın (@sadeceRahimAk) hazırlayıp sunduğu Borsada Yatırım'da bu hafta, Yapı Kredi Portföy Genel Müdürü Müge Peker konuk oldu https://t.co/Vs6qqezcRo https://t.co/QAoZHM42bL",Haberturk
11,2022-06-30 19:01:38+00:00,1542584161835302913,"Rusya 'Gönüllü çekildik' dedi, Ukrayna yalanladı https://t.co/3zjiPHwRj3",Haberturk
12,2022-06-30 18:43:01+00:00,1542579475300466688,"Cumhurbaşkanı Erdoğan, NATO Liderler Zirvesi'nin kapanış oturumunun ardından önemli açıklamalarda bulundu https://t.co/RmnFTTCXU9 https://t.co/hxYLL3od6t",Haberturk
13,2022-06-30 18:40:25+00:00,1542578823396573186,"Sağlık Bakanı Fahrettin Koca: Ankara Keçiören'de, saat 17.00 civarındaki yoğun yağış sonucunda su baskınında kayıp olan bir kişiyi arama çalışmaları devam etmektedir https://t.co/NPDgxOY9rJ https://t.co/sDMIWd1BPA",Haberturk
14,2022-06-30 18:24:00+00:00,1542574690396422146,Büyükçekmece'deki helikopter kazasında flaş gelişme https://t.co/MKGNPk7MlK,Haberturk
15,2022-06-30 18:02:49+00:00,1542569360526647297,Bakan Kurum'la vatandaş arasında gülümseten diyalog https://t.co/YwAUHX0uL2,Haberturk
16,2022-06-30 18:00:11+00:00,1542568696916369408,"Sağanak yağışlardan sonra sel baskınlarının hayatı olumsuz etkilediği Düzce'ye giden Ulaştırma ve Altyapı Bakanı Adil Karaismailoğlu, afet bölgesinde incelemelerde bulundu https://t.co/CCoUsTi9kV",Haberturk
17,2022-06-30 17:07:14+00:00,1542555373193904128,Ankara Valisi Vasip Şahin: Sağanak nedeniyle su basan bir evde 21 yaşındaki genç bir kız hayatını kaybetti https://t.co/NPDgxOY9rJ https://t.co/75bLQGBFx3,Haberturk
18,2022-06-30 17:05:55+00:00,1542555041780858881,Habertürk Finans Editörü Rahim Ak'ın (@sadeceRahimAk) hazırlayıp sunduğu Borsada Yatırım'ı Habertürk YouTube kanalından izlemek için 👇 https://t.co/S1Jgx22tAv,Haberturk
19,2022-06-30 17:05:34+00:00,1542554952727494656,"Borsada Yatırım'ın bu haftaki konuğu, Yapı Kredi Portföy Genel Müdürü Müge Peker 

Rahim Ak'ın (@sadeceRahimAk) sunduğu programda enflasyon döneminde yatırımcıların tasarruflarını yönetirken nelere dikkat etmesi gerektiği masaya yatırılıyor https://t.co/0Fdf33dBBO",Haberturk
20,2022-06-30 17:00:59+00:00,1542553798849302529,#SONDAKİKA Ankara'da sağanak nedeniyle su basan binada 1 kişinin cansız bedenine ulaşıldı https://t.co/NPDgxOY9rJ https://t.co/xgfbHRl3BP,Haberturk
21,2022-06-30 16:44:31+00:00,1542549653681487872,"Fransa Cumhurbaşkanı Emmanuel Macron, Türkiye'nin Finlandiya ve İsveç'in NATO'ya katılımına ilişkin ittifaktaki fikir birliğine katılmasından memnun olduğunu söyledi https://t.co/agvywcjn77",Haberturk
22,2022-06-30 16:40:42+00:00,1542548695803203585,Başkentte bir kez daha sağanak kâbusu! https://t.co/nnrKRHnRA9,Haberturk
23,2022-06-30 16:26:08+00:00,1542545029591449600,"Cumhurbaşkanı Erdoğan'ın eşi Emine Erdoğan'dan koruyucu ailelere ""anlamlı"" tebrik kartı: Bir çocuğa yuva olup sevgi ve emek vermenin değeri ölçülemez https://t.co/Vs5nmNMjUs",Haberturk
24,2022-06-30 16:18:49+00:00,1542543188380078083,Cumhurbaşkanı Erdoğan'dan NATO zirvesi sonrası paylaşımı https://t.co/AZTvIwBEKR,Haberturk
25,2022-06-30 16:15:51+00:00,1542542442125197312,Rusya Dışişleri Bakanı Lavrov: Ciddi şekilde endişe duyuyoruz https://t.co/AagDbEgK7w,Haberturk
26,2022-06-30 16:01:57+00:00,1542538944352587777,Öğrencilerini istismar eden öğretmen için yine aynı ceza istendi https://t.co/TEnlBxGNRC,Haberturk
27,2022-06-30 15:48:30+00:00,1542535559209435138,Anadolu Otoyolu'nda zincirleme kaza: 10 yaralı https://t.co/BOAxOoO4gD,Haberturk
28,2022-06-30 15:36:39+00:00,1542532575167746049,"#SONDAKİKA Milyonlarca memur ve emeklisi ile binlerce öğrencinin beklediği Ek gösterge ve öğrenci affına ilişkin teklif, TBMM Plan ve Bütçe Komisyonu'nda kabul edildi https://t.co/J2rriPVzSr https://t.co/plWoZKYReo",Haberturk
29,2022-06-30 15:27:48+00:00,1542530348407562247,"Gözler asgari ücret zam oranında 

Asgari Ücret Tespit Komisyonu'nun ikinci toplantısı 2 saat sürdü. Habertürk TV Muhabiri Esra Nehir, kritik toplantının detaylarını aktardı https://t.co/l4wzJGiXxJ https://t.co/cODgIhmMlc",Haberturk
30,2022-06-30 15:17:26+00:00,1542527737721630721,"Fethiye'de uçuş yapan jump ve wingsuit sporcusu ""Yarasa Adam"" Cengiz Koçak, yeni gösterisinde adeta nefesleri kesti https://t.co/TJBJlGOdyY",Haberturk
